========== Landscape 评估汇总（按 angle, pitch 组合）==========
组合 (angle80, pitch50)：AP@0.5 = 0.2737
组合 (angle100, pitch50)：AP@0.5 = 0.2727
组合 (angle120, pitch50)：AP@0.5 = 0.3032
组合 (angle140, pitch50)：AP@0.5 = 0.1712
组合 (angle160, pitch50)：AP@0.5 = 0.3149
组合 (angle180, pitch50)：AP@0.5 = 0.1963
组合 (angle200, pitch50)：AP@0.5 = 0.2803
组合 (angle220, pitch50)：AP@0.5 = 0.3176
组合 (angle240, pitch50)：AP@0.5 = 0.1153
组合 (angle260, pitch50)：AP@0.5 = 0.1917
组合 (angle280, pitch50)：AP@0.5 = 0.0650
组合 (angle300, pitch50)：AP@0.5 = 0.1563
组合 (angle320, pitch50)：AP@0.5 = 0.1693
组合 (angle340, pitch50)：AP@0.5 = 0.2164
组合 (angle0, pitch60)：AP@0.5 = 0.2154
组合 (angle20, pitch60)：AP@0.5 = 0.2179
组合 (angle40, pitch60)：AP@0.5 = 0.2593
组合 (angle60, pitch60)：AP@0.5 = 0.3519
组合 (angle80, pitch60)：AP@0.5 = 0.1818
组合 (angle100, pitch60)：AP@0.5 = 0.2476
组合 (angle120, pitch60)：AP@0.5 = 0.2521
组合 (angle140, pitch60)：AP@0.5 = 0.1932
组合 (angle160, pitch60)：AP@0.5 = 0.2449
组合 (angle180, pitch60)：AP@0.5 = 0.2301
组合 (angle200, pitch60)：AP@0.5 = 0.2490
组合 (angle220, pitch60)：AP@0.5 = 0.3134
组合 (angle240, pitch60)：AP@0.5 = 0.3455
组合 (angle260, pitch60)：AP@0.5 = 0.2279
组合 (angle280, pitch60)：AP@0.5 = 0.2311
组合 (angle300, pitch60)：AP@0.5 = 0.2594
组合 (angle320, pitch60)：AP@0.5 = 0.2495
组合 (angle340, pitch60)：AP@0.5 = 0.2510
组合 (angle0, pitch70)：AP@0.5 = 0.2202
组合 (angle20, pitch70)：AP@0.5 = 0.1999
组合 (angle40, pitch70)：AP@0.5 = 0.2505
组合 (angle60, pitch70)：AP@0.5 = 0.2366
组合 (angle80, pitch70)：AP@0.5 = 0.1682
组合 (angle100, pitch70)：AP@0.5 = 0.1673
组合 (angle120, pitch70)：AP@0.5 = 0.2594
组合 (angle140, pitch70)：AP@0.5 = 0.2139
组合 (angle160, pitch70)：AP@0.5 = 0.2085
组合 (angle180, pitch70)：AP@0.5 = 0.2424
组合 (angle200, pitch70)：AP@0.5 = 0.1673
组合 (angle220, pitch70)：AP@0.5 = 0.2702
组合 (angle240, pitch70)：AP@0.5 = 0.2470
组合 (angle260, pitch70)：AP@0.5 = 0.2333
组合 (angle280, pitch70)：AP@0.5 = 0.2502
组合 (angle300, pitch70)：AP@0.5 = 0.2523
组合 (angle320, pitch70)：AP@0.5 = 0.2611
组合 (angle340, pitch70)：AP@0.5 = 0.1682
组合 (angle0, pitch80)：AP@0.5 = 0.2030
组合 (angle20, pitch80)：AP@0.5 = 0.1515
组合 (angle40, pitch80)：AP@0.5 = 0.2107
组合 (angle60, pitch80)：AP@0.5 = 0.2521
组合 (angle80, pitch80)：AP@0.5 = 0.1527
组合 (angle100, pitch80)：AP@0.5 = 0.1779
组合 (angle120, pitch80)：AP@0.5 = 0.2558
组合 (angle140, pitch80)：AP@0.5 = 0.2495
组合 (angle160, pitch80)：AP@0.5 = 0.1859
组合 (angle180, pitch80)：AP@0.5 = 0.2301
组合 (angle200, pitch80)：AP@0.5 = 0.1722
组合 (angle220, pitch80)：AP@0.5 = 0.2727
组合 (angle240, pitch80)：AP@0.5 = 0.1818
组合 (angle260, pitch80)：AP@0.5 = 0.1768
组合 (angle280, pitch80)：AP@0.5 = 0.1768
组合 (angle300, pitch80)：AP@0.5 = 0.2632
组合 (angle320, pitch80)：AP@0.5 = 0.1727
组合 (angle340, pitch80)：AP@0.5 = 0.1442
组合 (angle0, pitch89)：AP@0.5 = 0.1288
组合 (angle20, pitch89)：AP@0.5 = 0.1364
组合 (angle40, pitch89)：AP@0.5 = 0.1612
组合 (angle60, pitch89)：AP@0.5 = 0.1722
组合 (angle80, pitch89)：AP@0.5 = 0.0909
组合 (angle100, pitch89)：AP@0.5 = 0.0745
组合 (angle120, pitch89)：AP@0.5 = 0.1818
组合 (angle140, pitch89)：AP@0.5 = 0.2147
组合 (angle160, pitch89)：AP@0.5 = 0.0763
组合 (angle180, pitch89)：AP@0.5 = 0.2028
组合 (angle200, pitch89)：AP@0.5 = 0.1201
组合 (angle220, pitch89)：AP@0.5 = 0.2727
组合 (angle240, pitch89)：AP@0.5 = 0.1722
组合 (angle260, pitch89)：AP@0.5 = 0.1818
组合 (angle280, pitch89)：AP@0.5 = 0.1722
组合 (angle300, pitch89)：AP@0.5 = 0.1818
组合 (angle320, pitch89)：AP@0.5 = 0.1234
组合 (angle340, pitch89)：AP@0.5 = 0.1310

【方法：ori】
组合 (angle0, pitch5)：AP@0.5 = 0.9636
组合 (angle20, pitch5)：AP@0.5 = 0.9578
组合 (angle40, pitch5)：AP@0.5 = 0.9806
组合 (angle60, pitch5)：AP@0.5 = 0.9048
组合 (angle80, pitch5)：AP@0.5 = 0.8470
组合 (angle100, pitch5)：AP@0.5 = 0.8692
组合 (angle120, pitch5)：AP@0.5 = 0.9341
组合 (angle140, pitch5)：AP@0.5 = 0.9470
组合 (angle160, pitch5)：AP@0.5 = 0.8446
组合 (angle180, pitch5)：AP@0.5 = 0.9115
组合 (angle200, pitch5)：AP@0.5 = 0.8762
组合 (angle220, pitch5)：AP@0.5 = 0.9500
组合 (angle240, pitch5)：AP@0.5 = 0.6320
组合 (angle260, pitch5)：AP@0.5 = 0.5048
组合 (angle280, pitch5)：AP@0.5 = 0.6893
组合 (angle300, pitch5)：AP@0.5 = 0.6079
组合 (angle320, pitch5)：AP@0.5 = 0.8118
组合 (angle340, pitch5)：AP@0.5 = 0.9770
组合 (angle0, pitch10)：AP@0.5 = 0.9765
组合 (angle20, pitch10)：AP@0.5 = 0.9839
组合 (angle40, pitch10)：AP@0.5 = 0.9758
组合 (angle60, pitch10)：AP@0.5 = 0.9698
组合 (angle80, pitch10)：AP@0.5 = 0.9042
组合 (angle100, pitch10)：AP@0.5 = 0.8892
组合 (angle120, pitch10)：AP@0.5 = 0.9683
组合 (angle140, pitch10)：AP@0.5 = 0.9154
组合 (angle160, pitch10)：AP@0.5 = 0.8890
组合 (angle180, pitch10)：AP@0.5 = 0.8928
组合 (angle200, pitch10)：AP@0.5 = 0.9128
组合 (angle220, pitch10)：AP@0.5 = 0.9833
组合 (angle240, pitch10)：AP@0.5 = 0.7056
组合 (angle260, pitch10)：AP@0.5 = 0.5747
组合 (angle280, pitch10)：AP@0.5 = 0.6872
组合 (angle300, pitch10)：AP@0.5 = 0.6266
组合 (angle320, pitch10)：AP@0.5 = 0.8587
组合 (angle340, pitch10)：AP@0.5 = 0.9483
组合 (angle0, pitch20)：AP@0.5 = 0.9989
组合 (angle20, pitch20)：AP@0.5 = 0.9804
组合 (angle40, pitch20)：AP@0.5 = 0.9817
组合 (angle60, pitch20)：AP@0.5 = 0.9972
组合 (angle80, pitch20)：AP@0.5 = 0.8777
组合 (angle100, pitch20)：AP@0.5 = 0.9674
组合 (angle120, pitch20)：AP@0.5 = 0.9562
组合 (angle140, pitch20)：AP@0.5 = 0.8917
组合 (angle160, pitch20)：AP@0.5 = 0.8272
组合 (angle180, pitch20)：AP@0.5 = 0.9037
组合 (angle200, pitch20)：AP@0.5 = 0.9145
组合 (angle220, pitch20)：AP@0.5 = 0.9886
组合 (angle240, pitch20)：AP@0.5 = 0.7655
组合 (angle260, pitch20)：AP@0.5 = 0.5288
组合 (angle280, pitch20)：AP@0.5 = 0.4317
组合 (angle300, pitch20)：AP@0.5 = 0.6098
组合 (angle320, pitch20)：AP@0.5 = 0.8523
组合 (angle340, pitch20)：AP@0.5 = 0.9889
组合 (angle0, pitch30)：AP@0.5 = 0.9954
组合 (angle20, pitch30)：AP@0.5 = 0.9984
组合 (angle40, pitch30)：AP@0.5 = 0.9978
组合 (angle60, pitch30)：AP@0.5 = 0.9808
组合 (angle80, pitch30)：AP@0.5 = 0.6837
组合 (angle100, pitch30)：AP@0.5 = 0.8704
组合 (angle120, pitch30)：AP@0.5 = 0.9465
组合 (angle140, pitch30)：AP@0.5 = 0.9046
组合 (angle160, pitch30)：AP@0.5 = 0.8209
组合 (angle180, pitch30)：AP@0.5 = 0.7960
组合 (angle200, pitch30)：AP@0.5 = 0.8683
组合 (angle220, pitch30)：AP@0.5 = 0.9268
组合 (angle240, pitch30)：AP@0.5 = 0.8174
组合 (angle260, pitch30)：AP@0.5 = 0.4023
组合 (angle280, pitch30)：AP@0.5 = 0.3120
组合 (angle300, pitch30)：AP@0.5 = 0.5087
组合 (angle320, pitch30)：AP@0.5 = 0.8427
组合 (angle340, pitch30)：AP@0.5 = 0.9895
组合 (angle0, pitch40)：AP@0.5 = 0.9958
组合 (angle20, pitch40)：AP@0.5 = 0.9989
组合 (angle40, pitch40)：AP@0.5 = 0.9555
组合 (angle60, pitch40)：AP@0.5 = 0.9091
组合 (angle80, pitch40)：AP@0.5 = 0.7420
组合 (angle100, pitch40)：AP@0.5 = 0.7769
组合 (angle120, pitch40)：AP@0.5 = 0.8033
组合 (angle140, pitch40)：AP@0.5 = 0.8094
组合 (angle160, pitch40)：AP@0.5 = 0.8406
组合 (angle180, pitch40)：AP@0.5 = 0.7783
组合 (angle200, pitch40)：AP@0.5 = 0.8632
组合 (angle220, pitch40)：AP@0.5 = 0.9091
组合 (angle240, pitch40)：AP@0.5 = 0.7195
组合 (angle260, pitch40)：AP@0.5 = 0.3501
组合 (angle280, pitch40)：AP@0.5 = 0.2319
组合 (angle300, pitch40)：AP@0.5 = 0.3825
组合 (angle320, pitch40)：AP@0.5 = 0.8757
组合 (angle340, pitch40)：AP@0.5 = 0.8999
组合 (angle0, pitch50)：AP@0.5 = 0.9091
组合 (angle20, pitch50)：AP@0.5 = 0.9192
组合 (angle40, pitch50)：AP@0.5 = 0.9091
组合 (angle60, pitch50)：AP@0.5 = 0.8119
组合 (angle80, pitch50)：AP@0.5 = 0.6930
组合 (angle100, pitch50)：AP@0.5 = 0.7048
组合 (angle120, pitch50)：AP@0.5 = 0.8150
组合 (angle140, pitch50)：AP@0.5 = 0.8554
组合 (angle160, pitch50)：AP@0.5 = 0.9091
组合 (angle180, pitch50)：AP@0.5 = 0.9022
组合 (angle200, pitch50)：AP@0.5 = 0.9091
组合 (angle220, pitch50)：AP@0.5 = 0.8182
组合 (angle240, pitch50)：AP@0.5 = 0.6414
组合 (angle260, pitch50)：AP@0.5 = 0.4853
组合 (angle280, pitch50)：AP@0.5 = 0.4547
组合 (angle300, pitch50)：AP@0.5 = 0.6558
组合 (angle320, pitch50)：AP@0.5 = 0.8456
组合 (angle340, pitch50)：AP@0.5 = 0.9234
组合 (angle0, pitch60)：AP@0.5 = 0.8587
组合 (angle20, pitch60)：AP@0.5 = 0.8137
组合 (angle40, pitch60)：AP@0.5 = 0.7593
组合 (angle60, pitch60)：AP@0.5 = 0.6985
组合 (angle80, pitch60)：AP@0.5 = 0.5249
组合 (angle100, pitch60)：AP@0.5 = 0.5963
组合 (angle120, pitch60)：AP@0.5 = 0.7017
组合 (angle140, pitch60)：AP@0.5 = 0.7542
组合 (angle160, pitch60)：AP@0.5 = 0.8156
组合 (angle180, pitch60)：AP@0.5 = 0.9022
组合 (angle200, pitch60)：AP@0.5 = 0.8175
组合 (angle220, pitch60)：AP@0.5 = 0.7672
组合 (angle240, pitch60)：AP@0.5 = 0.7651
组合 (angle260, pitch60)：AP@0.5 = 0.3986
组合 (angle280, pitch60)：AP@0.5 = 0.3773
组合 (angle300, pitch60)：AP@0.5 = 0.6302
组合 (angle320, pitch60)：AP@0.5 = 0.6980
组合 (angle340, pitch60)：AP@0.5 = 0.8175
组合 (angle0, pitch70)：AP@0.5 = 0.7710
组合 (angle20, pitch70)：AP@0.5 = 0.6720
组合 (angle40, pitch70)：AP@0.5 = 0.5876
组合 (angle60, pitch70)：AP@0.5 = 0.6029
组合 (angle80, pitch70)：AP@0.5 = 0.4706
组合 (angle100, pitch70)：AP@0.5 = 0.4940
组合 (angle120, pitch70)：AP@0.5 = 0.6149
组合 (angle140, pitch70)：AP@0.5 = 0.6584
组合 (angle160, pitch70)：AP@0.5 = 0.6867
组合 (angle180, pitch70)：AP@0.5 = 0.7855
组合 (angle200, pitch70)：AP@0.5 = 0.6821
组合 (angle220, pitch70)：AP@0.5 = 0.6785
组合 (angle240, pitch70)：AP@0.5 = 0.6238
组合 (angle260, pitch70)：AP@0.5 = 0.3839
组合 (angle280, pitch70)：AP@0.5 = 0.4255
组合 (angle300, pitch70)：AP@0.5 = 0.5309
组合 (angle320, pitch70)：AP@0.5 = 0.6249
组合 (angle340, pitch70)：AP@0.5 = 0.7030
组合 (angle0, pitch80)：AP@0.5 = 0.4064
组合 (angle20, pitch80)：AP@0.5 = 0.3346
组合 (angle40, pitch80)：AP@0.5 = 0.4315
组合 (angle60, pitch80)：AP@0.5 = 0.4836
组合 (angle80, pitch80)：AP@0.5 = 0.3555
组合 (angle100, pitch80)：AP@0.5 = 0.3306
组合 (angle120, pitch80)：AP@0.5 = 0.5249
组合 (angle140, pitch80)：AP@0.5 = 0.5375
组合 (angle160, pitch80)：AP@0.5 = 0.4840
组合 (angle180, pitch80)：AP@0.5 = 0.5150
组合 (angle200, pitch80)：AP@0.5 = 0.4382
组合 (angle220, pitch80)：AP@0.5 = 0.4439
组合 (angle240, pitch80)：AP@0.5 = 0.5329
组合 (angle260, pitch80)：AP@0.5 = 0.2521
组合 (angle280, pitch80)：AP@0.5 = 0.4087
组合 (angle300, pitch80)：AP@0.5 = 0.4438
组合 (angle320, pitch80)：AP@0.5 = 0.3901
组合 (angle340, pitch80)：AP@0.5 = 0.4294
组合 (angle0, pitch89)：AP@0.5 = 0.3260
组合 (angle20, pitch89)：AP@0.5 = 0.2554
组合 (angle40, pitch89)：AP@0.5 = 0.3513
组合 (angle60, pitch89)：AP@0.5 = 0.4142
组合 (angle80, pitch89)：AP@0.5 = 0.3436
组合 (angle100, pitch89)：AP@0.5 = 0.2176
组合 (angle120, pitch89)：AP@0.5 = 0.4171
组合 (angle140, pitch89)：AP@0.5 = 0.4239
组合 (angle160, pitch89)：AP@0.5 = 0.3305
组合 (angle180, pitch89)：AP@0.5 = 0.4209
组合 (angle200, pitch89)：AP@0.5 = 0.3154
组合 (angle220, pitch89)：AP@0.5 = 0.4533
组合 (angle240, pitch89)：AP@0.5 = 0.4520
组合 (angle260, pitch89)：AP@0.5 = 0.3441
组合 (angle280, pitch89)：AP@0.5 = 0.3492
组合 (angle300, pitch89)：AP@0.5 = 0.3619
组合 (angle320, pitch89)：AP@0.5 = 0.3804
组合 (angle340, pitch89)：AP@0.5 = 0.3064

【方法：rauca】
组合 (angle0, pitch5)：AP@0.5 = 0.5470
组合 (angle20, pitch5)：AP@0.5 = 0.6121
组合 (angle40, pitch5)：AP@0.5 = 0.7178
组合 (angle60, pitch5)：AP@0.5 = 0.8017
组合 (angle80, pitch5)：AP@0.5 = 0.7124
组合 (angle100, pitch5)：AP@0.5 = 0.7247
组合 (angle120, pitch5)：AP@0.5 = 0.7360
组合 (angle140, pitch5)：AP@0.5 = 0.6596
组合 (angle160, pitch5)：AP@0.5 = 0.4340
组合 (angle180, pitch5)：AP@0.5 = 0.6213
组合 (angle200, pitch5)：AP@0.5 = 0.4775
组合 (angle220, pitch5)：AP@0.5 = 0.5829
组合 (angle240, pitch5)：AP@0.5 = 0.2870
组合 (angle260, pitch5)：AP@0.5 = 0.3031
组合 (angle280, pitch5)：AP@0.5 = 0.3841
组合 (angle300, pitch5)：AP@0.5 = 0.2317
组合 (angle320, pitch5)：AP@0.5 = 0.3843
组合 (angle340, pitch5)：AP@0.5 = 0.7682
组合 (angle0, pitch10)：AP@0.5 = 0.6098
组合 (angle20, pitch10)：AP@0.5 = 0.6258
组合 (angle40, pitch10)：AP@0.5 = 0.5410
组合 (angle60, pitch10)：AP@0.5 = 0.7246
组合 (angle80, pitch10)：AP@0.5 = 0.6455
组合 (angle100, pitch10)：AP@0.5 = 0.5891
组合 (angle120, pitch10)：AP@0.5 = 0.7537
组合 (angle140, pitch10)：AP@0.5 = 0.5091
组合 (angle160, pitch10)：AP@0.5 = 0.3597
组合 (angle180, pitch10)：AP@0.5 = 0.4191
组合 (angle200, pitch10)：AP@0.5 = 0.4245
组合 (angle220, pitch10)：AP@0.5 = 0.5698
组合 (angle240, pitch10)：AP@0.5 = 0.3383
组合 (angle260, pitch10)：AP@0.5 = 0.3155
组合 (angle280, pitch10)：AP@0.5 = 0.3838
组合 (angle300, pitch10)：AP@0.5 = 0.1760
组合 (angle320, pitch10)：AP@0.5 = 0.2366
组合 (angle340, pitch10)：AP@0.5 = 0.4834
组合 (angle0, pitch20)：AP@0.5 = 0.5573
组合 (angle20, pitch20)：AP@0.5 = 0.5006
组合 (angle40, pitch20)：AP@0.5 = 0.4921
组合 (angle60, pitch20)：AP@0.5 = 0.6152
组合 (angle80, pitch20)：AP@0.5 = 0.3041
组合 (angle100, pitch20)：AP@0.5 = 0.4487
组合 (angle120, pitch20)：AP@0.5 = 0.4937
组合 (angle140, pitch20)：AP@0.5 = 0.2673
组合 (angle160, pitch20)：AP@0.5 = 0.0997
组合 (angle180, pitch20)：AP@0.5 = 0.2134
组合 (angle200, pitch20)：AP@0.5 = 0.2646
组合 (angle220, pitch20)：AP@0.5 = 0.6368
组合 (angle240, pitch20)：AP@0.5 = 0.2189
组合 (angle260, pitch20)：AP@0.5 = 0.2454
组合 (angle280, pitch20)：AP@0.5 = 0.0983
组合 (angle300, pitch20)：AP@0.5 = 0.1300
组合 (angle320, pitch20)：AP@0.5 = 0.2733
组合 (angle340, pitch20)：AP@0.5 = 0.5862
组合 (angle0, pitch30)：AP@0.5 = 0.3561
组合 (angle20, pitch30)：AP@0.5 = 0.3544
组合 (angle40, pitch30)：AP@0.5 = 0.3256
组合 (angle60, pitch30)：AP@0.5 = 0.4375
组合 (angle80, pitch30)：AP@0.5 = 0.1792
组合 (angle100, pitch30)：AP@0.5 = 0.2174
组合 (angle120, pitch30)：AP@0.5 = 0.1971
组合 (angle140, pitch30)：AP@0.5 = 0.1192
组合 (angle160, pitch30)：AP@0.5 = 0.0504
组合 (angle180, pitch30)：AP@0.5 = 0.1384
组合 (angle200, pitch30)：AP@0.5 = 0.1591
组合 (angle220, pitch30)：AP@0.5 = 0.2912
组合 (angle240, pitch30)：AP@0.5 = 0.1148
组合 (angle260, pitch30)：AP@0.5 = 0.0899
组合 (angle280, pitch30)：AP@0.5 = 0.0671
组合 (angle300, pitch30)：AP@0.5 = 0.0537
组合 (angle320, pitch30)：AP@0.5 = 0.2245
组合 (angle340, pitch30)：AP@0.5 = 0.3788
组合 (angle0, pitch40)：AP@0.5 = 0.3560
组合 (angle20, pitch40)：AP@0.5 = 0.3182
组合 (angle40, pitch40)：AP@0.5 = 0.2969
组合 (angle60, pitch40)：AP@0.5 = 0.3538
组合 (angle80, pitch40)：AP@0.5 = 0.2027
组合 (angle100, pitch40)：AP@0.5 = 0.2252
组合 (angle120, pitch40)：AP@0.5 = 0.1666
组合 (angle140, pitch40)：AP@0.5 = 0.0835
组合 (angle160, pitch40)：AP@0.5 = 0.0431
组合 (angle180, pitch40)：AP@0.5 = 0.0587
组合 (angle200, pitch40)：AP@0.5 = 0.1046
组合 (angle220, pitch40)：AP@0.5 = 0.3164
组合 (angle240, pitch40)：AP@0.5 = 0.1200
组合 (angle260, pitch40)：AP@0.5 = 0.1057
组合 (angle280, pitch40)：AP@0.5 = 0.0631
组合 (angle300, pitch40)：AP@0.5 = 0.0536
组合 (angle320, pitch40)：AP@0.5 = 0.1807
组合 (angle340, pitch40)：AP@0.5 = 0.2737
组合 (angle0, pitch50)：AP@0.5 = 0.2386
组合 (angle20, pitch50)：AP@0.5 = 0.2905
组合 (angle40, pitch50)：AP@0.5 = 0.3103
组合 (angle60, pitch50)：AP@0.5 = 0.2559
组合 (angle80, pitch50)：AP@0.5 = 0.2255
组合 (angle100, pitch50)：AP@0.5 = 0.2545
组合 (angle120, pitch50)：AP@0.5 = 0.3741
组合 (angle140, pitch50)：AP@0.5 = 0.1638
组合 (angle160, pitch50)：AP@0.5 = 0.3018
组合 (angle180, pitch50)：AP@0.5 = 0.2065
组合 (angle200, pitch50)：AP@0.5 = 0.3049
组合 (angle220, pitch50)：AP@0.5 = 0.2876
组合 (angle240, pitch50)：AP@0.5 = 0.1639
组合 (angle260, pitch50)：AP@0.5 = 0.1841
组合 (angle280, pitch50)：AP@0.5 = 0.1100
组合 (angle300, pitch50)：AP@0.5 = 0.2238
组合 (angle320, pitch50)：AP@0.5 = 0.2360
组合 (angle340, pitch50)：AP@0.5 = 0.2242
组合 (angle0, pitch60)：AP@0.5 = 0.2362
组合 (angle20, pitch60)：AP@0.5 = 0.2294
组合 (angle40, pitch60)：AP@0.5 = 0.2611
组合 (angle60, pitch60)：AP@0.5 = 0.2404
组合 (angle80, pitch60)：AP@0.5 = 0.1694
组合 (angle100, pitch60)：AP@0.5 = 0.2391
组合 (angle120, pitch60)：AP@0.5 = 0.2505
组合 (angle140, pitch60)：AP@0.5 = 0.2049
组合 (angle160, pitch60)：AP@0.5 = 0.2254
组合 (angle180, pitch60)：AP@0.5 = 0.2430
组合 (angle200, pitch60)：AP@0.5 = 0.2261
组合 (angle220, pitch60)：AP@0.5 = 0.3269
组合 (angle240, pitch60)：AP@0.5 = 0.3328
组合 (angle260, pitch60)：AP@0.5 = 0.1305
组合 (angle280, pitch60)：AP@0.5 = 0.1503
组合 (angle300, pitch60)：AP@0.5 = 0.2495
组合 (angle320, pitch60)：AP@0.5 = 0.2554
组合 (angle340, pitch60)：AP@0.5 = 0.2377
组合 (angle0, pitch70)：AP@0.5 = 0.1850
组合 (angle20, pitch70)：AP@0.5 = 0.1562
组合 (angle40, pitch70)：AP@0.5 = 0.2110
组合 (angle60, pitch70)：AP@0.5 = 0.1444
组合 (angle80, pitch70)：AP@0.5 = 0.0909
组合 (angle100, pitch70)：AP@0.5 = 0.1538
组合 (angle120, pitch70)：AP@0.5 = 0.2242
组合 (angle140, pitch70)：AP@0.5 = 0.2116
组合 (angle160, pitch70)：AP@0.5 = 0.1473
组合 (angle180, pitch70)：AP@0.5 = 0.2450
组合 (angle200, pitch70)：AP@0.5 = 0.2298
组合 (angle220, pitch70)：AP@0.5 = 0.2678
组合 (angle240, pitch70)：AP@0.5 = 0.2114
组合 (angle260, pitch70)：AP@0.5 = 0.1290
组合 (angle280, pitch70)：AP@0.5 = 0.1461
组合 (angle300, pitch70)：AP@0.5 = 0.2258
组合 (angle320, pitch70)：AP@0.5 = 0.2230
组合 (angle340, pitch70)：AP@0.5 = 0.2222
组合 (angle0, pitch80)：AP@0.5 = 0.1791
组合 (angle20, pitch80)：AP@0.5 = 0.1265
组合 (angle40, pitch80)：AP@0.5 = 0.1985
组合 (angle60, pitch80)：AP@0.5 = 0.1310
组合 (angle80, pitch80)：AP@0.5 = 0.0909
组合 (angle100, pitch80)：AP@0.5 = 0.0909
组合 (angle120, pitch80)：AP@0.5 = 0.1770
组合 (angle140, pitch80)：AP@0.5 = 0.2197
组合 (angle160, pitch80)：AP@0.5 = 0.1364
组合 (angle180, pitch80)：AP@0.5 = 0.2259
组合 (angle200, pitch80)：AP@0.5 = 0.2304
组合 (angle220, pitch80)：AP@0.5 = 0.2577
组合 (angle240, pitch80)：AP@0.5 = 0.2219
组合 (angle260, pitch80)：AP@0.5 = 0.0909
组合 (angle280, pitch80)：AP@0.5 = 0.0909
组合 (angle300, pitch80)：AP@0.5 = 0.1364
组合 (angle320, pitch80)：AP@0.5 = 0.1377
组合 (angle340, pitch80)：AP@0.5 = 0.1405
组合 (angle0, pitch89)：AP@0.5 = 0.1080
组合 (angle20, pitch89)：AP@0.5 = 0.1165
组合 (angle40, pitch89)：AP@0.5 = 0.2311
组合 (angle60, pitch89)：AP@0.5 = 0.1103
组合 (angle80, pitch89)：AP@0.5 = 0.0530
组合 (angle100, pitch89)：AP@0.5 = 0.0167
组合 (angle120, pitch89)：AP@0.5 = 0.1682
组合 (angle140, pitch89)：AP@0.5 = 0.2246
组合 (angle160, pitch89)：AP@0.5 = 0.1253
组合 (angle180, pitch89)：AP@0.5 = 0.2337
组合 (angle200, pitch89)：AP@0.5 = 0.1612
组合 (angle220, pitch89)：AP@0.5 = 0.2627
组合 (angle240, pitch89)：AP@0.5 = 0.2391
组合 (angle260, pitch89)：AP@0.5 = 0.0909
组合 (angle280, pitch89)：AP@0.5 = 0.0909
组合 (angle300, pitch89)：AP@0.5 = 0.0909
组合 (angle320, pitch89)：AP@0.5 = 0.1069
组合 (angle340, pitch89)：AP@0.5 = 0.1466

【方法：raucae2e】
组合 (angle0, pitch5)：AP@0.5 = 0.5404
组合 (angle20, pitch5)：AP@0.5 = 0.5498
组合 (angle40, pitch5)：AP@0.5 = 0.6065
组合 (angle60, pitch5)：AP@0.5 = 0.6621
组合 (angle80, pitch5)：AP@0.5 = 0.7132
组合 (angle100, pitch5)：AP@0.5 = 0.6914
组合 (angle120, pitch5)：AP@0.5 = 0.6385
组合 (angle140, pitch5)：AP@0.5 = 0.4175
组合 (angle160, pitch5)：AP@0.5 = 0.3083
组合 (angle180, pitch5)：AP@0.5 = 0.4410
组合 (angle200, pitch5)：AP@0.5 = 0.2899
组合 (angle220, pitch5)：AP@0.5 = 0.2714
组合 (angle240, pitch5)：AP@0.5 = 0.1567
组合 (angle260, pitch5)：AP@0.5 = 0.1842
组合 (angle280, pitch5)：AP@0.5 = 0.3464
组合 (angle300, pitch5)：AP@0.5 = 0.1157
组合 (angle320, pitch5)：AP@0.5 = 0.3481
组合 (angle340, pitch5)：AP@0.5 = 0.6554
组合 (angle0, pitch10)：AP@0.5 = 0.5484
组合 (angle20, pitch10)：AP@0.5 = 0.4679
组合 (angle40, pitch10)：AP@0.5 = 0.4291
组合 (angle60, pitch10)：AP@0.5 = 0.4595
组合 (angle80, pitch10)：AP@0.5 = 0.5700
组合 (angle100, pitch10)：AP@0.5 = 0.4867
组合 (angle120, pitch10)：AP@0.5 = 0.6706
组合 (angle140, pitch10)：AP@0.5 = 0.2187
组合 (angle160, pitch10)：AP@0.5 = 0.1429
组合 (angle180, pitch10)：AP@0.5 = 0.2460
组合 (angle200, pitch10)：AP@0.5 = 0.2040
组合 (angle220, pitch10)：AP@0.5 = 0.2136
组合 (angle240, pitch10)：AP@0.5 = 0.0612
组合 (angle260, pitch10)：AP@0.5 = 0.1097
组合 (angle280, pitch10)：AP@0.5 = 0.1424
组合 (angle300, pitch10)：AP@0.5 = 0.0564
组合 (angle320, pitch10)：AP@0.5 = 0.1556
组合 (angle340, pitch10)：AP@0.5 = 0.4323
组合 (angle0, pitch20)：AP@0.5 = 0.5037
组合 (angle20, pitch20)：AP@0.5 = 0.2239
组合 (angle40, pitch20)：AP@0.5 = 0.2668
组合 (angle60, pitch20)：AP@0.5 = 0.2875
组合 (angle80, pitch20)：AP@0.5 = 0.1368
组合 (angle100, pitch20)：AP@0.5 = 0.1921
组合 (angle120, pitch20)：AP@0.5 = 0.1447
组合 (angle140, pitch20)：AP@0.5 = 0.0363
组合 (angle160, pitch20)：AP@0.5 = 0.0236
组合 (angle180, pitch20)：AP@0.5 = 0.0889
组合 (angle200, pitch20)：AP@0.5 = 0.0767
组合 (angle220, pitch20)：AP@0.5 = 0.2426
组合 (angle240, pitch20)：AP@0.5 = 0.0206
组合 (angle260, pitch20)：AP@0.5 = 0.0258
组合 (angle280, pitch20)：AP@0.5 = 0.0180
